metafeatures,target
"[0.9877522554747115, 3328.677372028816, 0.23113785340253235, 0.8917911255411255, 0.109375, 0.9341346378846378, 0.03125, 0.8901114426114427, 0.109375, 0.9305873405873404, 0.0, 0.9305873405873404, 0.0625]",0
"[0.5467584892393395, 6376.1190824749365, 0.6101756341028424, 0.23440718746259237, 0.171875, 0.2625402713501458, 0.234375, 0.20266392396374858, 0.09375, 0.2057422922867933, 0.078125, 0.20565524949290886, 0.015625]",0
"[0.5392991912379833, 16224.455321839974, 0.6647590206856908, 0.7598620485139848, 0.15625, 0.8438764424598592, 0.046875, 0.6678343213488337, 0.03125, 0.8352828461689805, 0.03125, 0.8352828461689805, 0.046875]",1
"[0.6698047866103679, 7297.726811254146, 0.47351817696858717, 0.9995283018867924, 0.109375, 0.999052111410602, 0.203125, 0.3706101721418026, 0.125, 0.4530135875359765, 0.03125, 0.4530135875359765, 0.03125]",0
"[0.39559167198546236, 1720.344902225193, 1.025165385016438, 0.41410944619023954, 0.1875, 0.954667105253949, 0.21875, 0.908266203817109, 0.125, 0.9655382375789981, 0.03125, 0.9387603843704291, 0.03125]",1
"[0.5842257305055926, 69093.34966915922, 0.6104682039477688, 0.7952380584336447, 0.5, 0.8279558426270286, 0.078125, 0.740653915828182, 0.09375, 0.7607182417754828, 0.140625, 0.7607182417754828, 0.078125]",1
"[0.9957037328869507, 24559.20704734215, 0.4043211239910511, 0.8043280130459559, 0.359375, 0.8091978209443166, 0.015625, 0.7095105835242903, 0.03125, 0.8065229174782125, 0.03125, 0.8012887576985982, 0.03125]",0
"[0.16394326630552236, 367.9771642687542, 2.347211165974487, 0.8486876736051574, 0.28125, 0.977164420515986, 0.015625, 0.905749745664872, 0.046875, 0.8209398968942537, 0.046875, 0.8209398968942537, 0.03125]",1
"[0.5410542319474954, 1118.4723802507572, 0.6449264406465076, 0.8926681913474367, 0.046875, 0.9111219109332318, 0.0625, 0.8463229782097708, 0.0625, 0.914929165872562, 0.109375, 0.914929165872562, 0.03125]",0
"[0.5668926666306254, 1656.9576500860678, 0.7745065167917251, 0.5555470608222901, 0.046875, 0.5592167855929324, 0.046875, 0.5170234454638125, 0.0625, 0.5541794087665648, 0.0625, 0.5537164458036017, 0.0625]",0
"[0.26404231937993805, 427.5565911760813, 1.6007035295724215, 0.1415132588916947, 0.046875, 0.5794285405806632, 0.0625, 0.48440540976416485, 0.109375, 0.40710800836168604, 0.078125, 0.3684088915543856, 0.0625]",0
"[0.6166327343906929, 14675.657079943683, 0.5128919907945317, 0.8728044864179456, 0.171875, 0.8594024584098336, 0.265625, 0.8051959495837984, 0.1875, 0.8570104648418594, 0.03125, 0.8586008616034464, 0.03125]",0
"[0.48431902732162724, 4892.457139820039, 0.757113142258182, 0.8886251552530433, 0.03125, 0.9431650876323058, 0.03125, 0.978293365762499, 0.015625, 0.9460636383569435, 0.015625, 0.9460636383569435, 0.03125]",1
